# List of intransitive verbs with wrong preposition to be corrected into another preposition
# الأفعال المتعدية بحرف، الخاطئة في حرف التعدية، واستبداله بحرف آخر
# like تردّد على  =>تردد إلى
# verbs must be written with tashkeel
# نضع هنا الأفعال التي تكتب متعدية بحرف والصحيح أن تكون متعدية بحرف آخر
# نكتبها بالشكل:
#تَرَدَّدَ على=إلى
# الجزء الأول هو الفعل بصيغته المشكولة مع حرف التعدية، تحقق من تشكيل الأصل في قاموس البرنامج، استعمل في الواجهة ctl+t كي ترى توسيم الكلمات وأصولها
# في حالة تعدد حرف التعدية، يضاف مدخل آخر
# الجزء الثاني علامة المساواة
#الجزء الثالث: حرف التعدي الصحيح، يمكن تعدد الحروف، والفصل بينها بالعمود
#الجزء الرابع: رسالة الخطأ المرفقة
#مثال:
#تَرَدَّدَ على=إلى	لأن الفعل "تردد" يتعدّى بـ"إلى"
تَرَدَّدَ على=إلى|في	لأن الفعل "تردد" يتعدّى بـ"إلى"
اِسْتَنَدَ على=إلى	حيث الفعل "استند" ومشتقاته يتعدّى بـ"إلى"، مثل الخطأ :"استند على كلامك، فأنت مُحقّ" والصواب "استند إلى كلامك"
تَثَبَّتَ من=في	فحرف الجر "من" ليس من الحروف الظرفية، مثل الخطأ :"تثبّت من الأمر، ينبغي التثبت من الأمر"
تَخَرَّجَ من=في	لأن تخرج في الكلية تعلم فيها وتدرب ودرس مناهجها، أما تخرج من الكلية فلا يفيد ذلك، 
خَرَجَ على=عن	الفعل "خرج" يتعدّى بحرف الجر "عن"، مثلا "خرج على القانون" والصواب "خرج عن القانون"
دَبَّ إلى=في	الفعل "دبّ" يتعدى بحرف الجر "في"، مثلا "دبّ المرض إلى جسمه" والصواب "دبّ المرض في جسمه"
دَعَا على=إلى	فالفعل "دعا" يتعدّى بحرف الجر "إلى"، مثلا "دعا زملاءه على الغداء" والصواب: "دعا زملاءه إلى الغداء"
زَادَ عن=على	الفعل "زاد" يتعدّى بـ "على"، مثلا "زاد الماء عن الزيت" والصواب " زاد الماء على الزيت"
ضَحِكَ على=من|ب	لا يتعدّى ضحك بـ"على"، مثلا "ضحك عليه بسبب أفعاله" والصواب " ضحكت منه أو به"
طَلَبَ من=إلى	لأن طلب له شيئًا وإليه كذا: سأله إياه، مثلا "طلبت من صديقي العون"، والصواب "طلبت إليه"
قَلَّ على=عن	الفعل "قل" يتعدّى بـ "عن"، مثلا "قلّ الزيت على الماء" والصواب " قلّ عن الماء"
أَذَاعَ على=بين|في	ذلك الاستخدام الصواب،مثلا " نذيع عليكم سرًّا" والصواب "نذيع بينكم أو فيكم"
وَزَّعَ على=بين|في	وَزَّعَ بين|وَزَّعَ في "أعطاهم إياهم مفرّقة"، مثلا "وزّع على التلاميذ الجوائز "أعطاهم إياهم مفرّقة"
خَفِيَ عن=على	لقوله تعالى: "إن الله لا يخفى عليه شيء" وقوله: "وما يخفى على الله من شيء"، لا يخفى عنه الخبر







